name,country,address,date_of_birth,email
Jordan Freeman,Northern Mariana Islands,"8953 Gray Fork Suite 190
Lake Suzanneshire, MS 83107",1959-11-19,johnsongordon@example.net
Amanda Glass,Paraguay,"7804 Megan Course
Anthonyberg, PW 93241",1959-11-05,driley@example.com
Joshua Cortez,Solomon Islands,"034 Bradley Knoll
Meyerport, IN 44199",1991-10-26,zgonzalez@example.net
Michelle Reyes,Kiribati,"63598 Horn Mill Apt. 814
South Emily, MT 17964",1986-01-04,williamscharles@example.com
Tina Young,Saint Pierre and Miquelon,"0910 Ritter Motorway Apt. 650
Fergusonview, IL 77026",1999-06-04,josephmiller@example.org
Sandra Hunter,Turks and Caicos Islands,"19018 Bishop Forges Suite 299
Rosechester, SD 84626",1964-12-14,hardinsusan@example.com
Raymond Barber,Turkmenistan,"030 Larry Stravenue Apt. 893
South Heidi, KY 79607",1998-02-27,emily71@example.com
Heather Hall,Korea,"28841 Dwayne Cove
Valeriefurt, CA 02645",1991-04-12,ksoto@example.com
Katherine Hurst,Brazil,"120 Flowers Ford
Sarahbury, CA 23108",1993-10-30,hoganjill@example.net
Crystal Randall,Japan,"97228 Amber Radial
Colemanhaven, KY 45668",1968-02-02,jamesandrade@example.com
Thomas Fox,British Indian Ocean Territory (Chagos Archipelago),"75303 Henry Lake
Port Hannah, PW 28678",1991-08-03,taylorjacqueline@example.org
Jeffrey Mccarty,Cayman Islands,"02719 Morrison Grove
West Marissa, MS 08420",1982-07-09,collinsgrant@example.org
Jacob Brown,Guernsey,"94806 Martha Inlet Apt. 323
Ritterberg, AZ 11546",1981-06-03,mhuber@example.com
Carolyn Wallace,Niue,"09664 Porter Throughway Apt. 039
Daltonfurt, VT 92245",1974-11-27,iwilliams@example.com
Jessica Orr,Seychelles,"09673 Lara Mall
Jonesside, MS 28619",1995-05-01,wujesse@example.com
Karen Good,Pakistan,"25698 Brandon Isle
North Briannaside, MD 80958",1998-06-27,lowechristopher@example.org
Martin Graves,Philippines,"525 Joseph Track
Jesseview, FL 45521",1970-11-14,david08@example.org
Melissa Smith,South Georgia and the South Sandwich Islands,"69489 Russell Glen Suite 740
North Jennifer, MA 99881",1967-03-30,christyvilla@example.com
Krista Jackson,Bouvet Island (Bouvetoya),"543 Wilkinson Squares
Melanieport, NY 47983",1977-06-18,joshua42@example.net
